id,opportunity_created,date_purchased,first_name,last_name,email,gender,financed,pct_financed,car_make,car_model,car_year,car_color,purchase_price
1,2021-10-29,1/2/2022,Dacia,Gwynne,dgwynne0@reference.com,Polygender,true,0.62,Bentley,Continental Flying Spur,2008,Teal,56974
2,2021-10-19,5/29/2022,Kyla,Oki,koki1@gnu.org,Female,true,0.01,Ford,Ranger,2006,Violet,15147
3,2021-10-28,11/20/2022,Kristian,Klishin,kklishin2@goo.gl,Male,false,0.37,Hummer,H1,2003,Pink,48346
4,2021-07-05,5/30/2022,Thadeus,Chater,tchater3@wix.com,Agender,true,0.73,Toyota,Tundra,2011,Crimson,49525
5,2021-05-18,4/28/2022,Nealy,Fairpo,nfairpo4@arizona.edu,Agender,true,0.75,Jaguar,S-Type,2002,Turquoise,74310
6,2021-09-24,5/11/2022,Burton,Ingle,bingle5@prweb.com,Male,false,0.03,GMC,3500,1992,Indigo,46843
7,2021-08-25,4/10/2022,Daloris,Soutar,dsoutar6@bbc.co.uk,Agender,true,0.65,Lexus,GX,2009,Yellow,26193
8,2021-01-22,1/7/2023,Hebert,Langthorn,hlangthorn7@ucla.edu,Male,false,0.3,Oldsmobile,Achieva,1993,Fuscia,9069
9,2021-05-02,3/20/2022,Xavier,Iskowitz,xiskowitz8@blogger.com,Male,false,0.46,Nissan,Xterra,2012,Blue,74099
10,2021-08-20,5/17/2022,Kinny,Itzchaki,kitzchaki9@yahoo.co.jp,Male,false,0.22,Chevrolet,Impala,2006,Purple,25727
11,2021-06-09,9/26/2022,Marcelline,Devaney,mdevaneya@stanford.edu,Genderqueer,false,0.9,Toyota,Cressida,1992,Teal,43779
12,2021-09-09,9/5/2022,Madonna,Froome,mfroomeb@un.org,Female,true,0.15,Jaguar,XJ Series,2003,Red,54222
13,2021-02-25,1/20/2023,Kerstin,Bellworthy,kbellworthyc@accuweather.com,Female,false,0.06,Infiniti,J,1995,Aquamarine,59193
14,2021-08-23,2/24/2023,Emiline,Crauford,ecraufordd@cloudflare.com,Genderqueer,false,0.93,Lincoln,MKZ,2010,Orange,52321
15,2021-08-20,11/24/2022,Mitchael,Huggon,mhuggone@sciencedirect.com,Male,true,0.26,Chevrolet,Colorado,2010,Turquoise,72381
16,2021-10-13,11/22/2022,Madalyn,Bridle,mbridlef@nbcnews.com,Female,false,0.31,Saab,9-3,2001,Orange,43495
17,2021-03-26,5/8/2022,Gwyneth,Hariot,ghariotg@networkadvertising.org,Female,false,0.14,Audi,A6,2011,Teal,27236
18,2021-08-05,9/26/2022,Gardie,Parrot,gparroth@netvibes.com,Polygender,true,0.83,Maserati,Quattroporte,2010,Purple,42734
19,2021-03-23,1/26/2022,Indira,Trevaskis,itrevaskisi@irs.gov,Female,true,0.61,Chevrolet,Lumina,1997,Purple,62400
20,2021-06-06,11/12/2022,Findley,Epperson,feppersonj@dyndns.org,Male,true,0.59,Chevrolet,Suburban 2500,2009,Puce,53323
21,2021-02-16,9/30/2022,Whittaker,Glasard,wglasardk@wikia.com,Male,false,0.26,Volvo,S40,2006,Khaki,60591
22,2021-10-26,1/2/2023,Irene,Bulleyn,ibulleynl@tiny.cc,Female,false,0.61,GMC,Yukon XL,2006,Purple,43908
23,2021-07-10,9/30/2022,Steven,Guyer,sguyerm@tripadvisor.com,Male,true,0.38,Audi,4000CS Quattro,1986,Green,69812
24,2021-12-06,11/18/2022,Sibelle,Osburn,sosburnn@statcounter.com,Female,true,0.41,Mercedes-Benz,M-Class,2008,Crimson,42455
25,2021-02-21,7/25/2022,Brynna,Duer,bduero@epa.gov,Female,false,0.49,Honda,Passport,2001,Khaki,35806
26,2021-03-01,10/15/2022,Eddie,Carlile,ecarlilep@gizmodo.com,Male,false,0.44,Nissan,Armada,2009,Orange,56736
27,2021-10-05,7/24/2022,Isacco,Tofts,itoftsq@ftc.gov,Male,true,0.1,Maybach,Landaulet,2010,Crimson,12914
28,2021-03-01,5/26/2022,Llewellyn,Cokly,lcoklyr@wsj.com,Male,true,0.15,Porsche,944,1987,Puce,61439
29,2021-03-25,1/20/2023,Ely,Coombes,ecoombess@desdev.cn,Male,false,0.71,Chevrolet,Camaro,1976,Fuscia,66332
30,2021-08-13,12/26/2022,Desiri,Doak,ddoakt@csmonitor.com,Female,true,0.23,Jaguar,XJ Series,2005,Aquamarine,53751
31,2021-09-08,11/29/2022,Chev,Shyres,cshyresu@nature.com,Male,true,0.19,Isuzu,Hombre,1998,Pink,57969
32,2021-12-27,1/15/2022,Fredek,Rack,frackv@altervista.org,Male,false,0.25,GMC,Savana 1500,2002,Aquamarine,58539
33,2021-10-18,5/5/2022,Nanni,Bowness,nbownessw@digg.com,Female,true,0.18,Mercury,Mountaineer,2006,Purple,52888
34,2021-04-29,11/30/2022,Leandra,Caveill,lcaveillx@macromedia.com,Female,false,0.7,Mitsubishi,Expo LRV,1996,Violet,14441
35,2021-08-09,5/18/2022,Maxine,Le Clercq,mleclercqy@quantcast.com,Genderqueer,true,0.38,Dodge,Ram 2500,2008,Indigo,39042
36,2021-05-09,11/18/2022,Maynard,Kellough,mkelloughz@tripadvisor.com,Male,true,0.15,Nissan,NV3500,2012,Turquoise,28765
37,2021-03-29,7/3/2022,Koralle,Swane,kswane10@msu.edu,Female,false,0.1,Hyundai,Veracruz,2011,Indigo,21531
38,2021-02-14,7/15/2022,Mylo,McArdell,mmcardell11@sogou.com,Male,true,0.72,Pontiac,Firebird,1996,Violet,68812
39,2021-11-26,9/30/2022,Hieronymus,Sesser,hsesser12@npr.org,Polygender,true,0.95,Ford,Aerostar,1988,Indigo,57514
40,2021-11-17,11/3/2022,Nester,Etchells,netchells13@newyorker.com,Male,true,0.63,Audi,A8,1997,Teal,55666
41,2021-09-20,1/18/2023,Hatty,Briereton,hbriereton14@vk.com,Female,true,0.15,Mitsubishi,RVR,1992,Turquoise,25427
42,2021-04-30,8/4/2022,Kinny,Chotty,kchotty15@gmpg.org,Male,false,0.49,Isuzu,i-Series,2007,Blue,28350
43,2021-04-18,7/9/2022,Olivier,Halstead,ohalstead16@newsvine.com,Male,false,0.93,Chevrolet,Express,2009,Mauv,5368
44,2021-02-02,3/18/2022,Roseanne,Posner,rposner17@sogou.com,Female,true,0.04,Nissan,Rogue,2011,Pink,26512
45,2021-02-05,6/6/2022,Johanna,Karys,jkarys18@walmart.com,Female,true,0.22,Chrysler,PT Cruiser,2010,Crimson,52089
46,2021-12-29,6/28/2022,Alma,Straun,astraun19@dedecms.com,Female,true,0.04,Oldsmobile,Alero,2001,Turquoise,47857
47,2021-08-02,9/19/2022,Dona,Schade,dschade1a@wordpress.com,Polygender,true,0.41,Chevrolet,Express 1500,2003,Crimson,65979
