id,opportunity_created,date_purchased,first_name,last_name,email,gender,financed,pct_financed,car_make,car_model,car_year,car_color,purchase_price
1,2019-11-23,10/22/2021,Granger,Tape,gtape0@diigo.com,Male,false,0.99,Audi,4000,1987,Indigo,34412
2,2019-01-10,7/2/2021,Queenie,Thoresby,qthoresby1@aol.com,Female,false,0.47,Ford,E-Series,2004,Puce,48511
3,2020-12-31,1/19/2021,Denver,Kevlin,dkevlin2@imgur.com,Male,true,0.29,Ferrari,430 Scuderia,2008,Turquoise,22059
4,2020-12-17,6/16/2021,Barbabas,Tregent,btregent3@flickr.com,Male,false,0.43,Chevrolet,Camaro,1972,Aquamarine,23586
5,2019-02-23,4/5/2021,Hephzibah,Nutter,hnutter4@mozilla.org,Female,false,0.42,Volkswagen,Passat,2009,Turquoise,10670
6,2019-12-24,10/2/2021,Tara,Fassmann,tfassmann5@nbcnews.com,Female,false,0.15,Volkswagen,New Beetle,2012,Blue,40941
7,2020-11-26,11/23/2021,Dinah,Jahan,djahan6@t.co,Genderfluid,false,0.53,Subaru,Forester,2010,Turquoise,54880
8,2020-08-19,8/24/2021,Cecile,Poulson,cpoulson7@nps.gov,Female,false,0.42,Honda,Civic,2003,Green,38783
9,2019-09-02,8/7/2021,Bonni,MacConnal,bmacconnal8@godaddy.com,Female,true,0.67,Ford,Econoline E350,1999,Blue,28622
10,2019-07-05,5/14/2021,Kriste,Longley,klongley9@mail.ru,Female,true,0.88,Audi,A6,2007,Khaki,29599
11,2019-01-27,10/18/2021,Lutero,Petegree,lpetegreea@istockphoto.com,Male,false,0.35,Ford,Explorer,2003,Crimson,10621
12,2019-06-05,7/27/2021,Wilmer,Stockton,wstocktonb@mayoclinic.com,Male,true,0.12,Dodge,Colt,1994,Indigo,48455
13,2019-04-27,12/13/2021,Ambros,Brazel,abrazelc@odnoklassniki.ru,Male,true,0.38,Ford,E-Series,2012,Crimson,60832
14,2019-07-24,8/19/2021,Dav,Leopold,dleopoldd@wired.com,Male,true,0.92,Dodge,Grand Caravan,1999,Mauv,58892
15,2020-12-18,7/5/2021,Curry,Benedick,cbenedicke@nhs.uk,Male,true,0.32,BMW,X5,2009,Pink,66199
16,2019-03-14,12/21/2021,Randall,Skinner,rskinnerf@github.com,Polygender,false,0.11,Dodge,Journey,2011,Goldenrod,64379
17,2020-06-10,5/30/2021,Meggy,Fluin,mfluing@goo.ne.jp,Female,true,0.73,Geo,Metro,1996,Purple,39748
18,2019-10-07,4/26/2021,Brodie,Kaminski,bkaminskih@symantec.com,Male,false,0.06,Saab,900,1985,Red,41301
19,2020-04-30,9/2/2021,Morissa,Pierton,mpiertoni@slate.com,Bigender,false,0.69,Chevrolet,Sonic,2012,Yellow,41853
20,2019-02-02,8/7/2021,Ingmar,Burke,iburkej@about.com,Male,false,0.09,Chevrolet,Suburban 2500,1998,Yellow,43927
21,2019-08-26,12/31/2021,Lem,Eckery,leckeryk@ow.ly,Male,true,0.07,Subaru,Legacy,1992,Indigo,42812
22,2019-09-06,10/27/2021,Sallee,Iacopo,siacopol@mozilla.org,Female,false,0.21,Subaru,Legacy,1989,Violet,30282
23,2019-02-11,6/1/2021,Axel,Brunini,abruninim@tmall.com,Male,false,0.63,Dodge,Stealth,1995,Puce,52093
24,2020-08-19,2/13/2021,Winonah,Frankham,wfrankhamn@paypal.com,Bigender,false,0.28,Toyota,Matrix,2003,Green,18136
25,2020-06-23,6/11/2021,Hinda,Nardrup,hnardrupo@list-manage.com,Genderfluid,true,0.15,Audi,riolet,1995,Crimson,48132
26,2019-11-03,11/12/2021,Jessie,Gehring,jgehringp@seesaa.net,Male,true,0.24,Nissan,Pathfinder,2002,Crimson,8301
27,2020-04-30,3/30/2021,Stavro,Matuszkiewicz,smatuszkiewiczq@github.com,Male,true,0.52,Oldsmobile,88,1994,Fuscia,17284
28,2019-01-23,9/2/2021,Bell,Newcomb,bnewcombr@yolasite.com,Agender,false,0.61,Jeep,Grand Cherokee,1993,Pink,9241
29,2020-10-24,3/16/2021,Bari,Bloxam,bbloxams@bloomberg.com,Female,true,0.65,Pontiac,Firefly,1992,Turquoise,12578
30,2019-05-01,5/11/2021,Maurita,Cordier,mcordiert@vistaprint.com,Female,true,0.03,Cadillac,Escalade,2011,Blue,21394
31,2019-01-29,3/31/2021,Aridatha,Sutcliffe,asutcliffeu@bandcamp.com,Female,false,0.8,Mazda,626,1993,Turquoise,69407
32,2020-01-10,7/6/2021,Rahal,Rowles,rrowlesv@devhub.com,Female,true,0.49,GMC,Suburban 2500,1993,Green,46126
33,2020-06-20,9/24/2021,Jeffrey,Cabedo,jcabedow@qq.com,Male,true,0.65,Audi,Q5,2011,Purple,34961
34,2020-12-31,8/11/2021,Brendon,Sawden,bsawdenx@samsung.com,Male,false,0.39,Buick,Century,1996,Mauv,53236
35,2019-05-08,1/10/2021,Noak,Cogley,ncogleyy@wsj.com,Genderfluid,true,0.27,Ford,Taurus,2007,Maroon,47845
36,2020-11-07,3/29/2021,Lance,Forrington,lforringtonz@dailymail.co.uk,Male,true,0.32,GMC,Suburban 1500,1997,Crimson,48252
37,2019-10-24,2/28/2021,Farlee,Carse,fcarse10@howstuffworks.com,Male,true,0.39,Mercedes-Benz,SL-Class,1984,Turquoise,38058
38,2019-12-01,4/6/2021,Lanette,Butteris,lbutteris11@ask.com,Female,false,0.26,Saturn,S-Series,1995,Crimson,47962
39,2020-05-23,1/7/2021,Tom,Hebditch,thebditch12@nyu.edu,Male,false,0.82,Chevrolet,Express 2500,2006,Indigo,56191
40,2020-04-21,8/31/2021,Cullie,Peasey,cpeasey13@unc.edu,Male,true,0.58,Dodge,Ram 2500,2002,Green,13314
41,2019-02-13,6/5/2021,Verge,Gladding,vgladding14@vk.com,Male,true,0.7,Mercedes-Benz,SLK-Class,2003,Violet,28292
42,2019-01-12,8/30/2021,Lurette,Edeler,ledeler15@slideshare.net,Female,true,0.81,Alfa Romeo,Spider,1992,Maroon,23491
43,2020-04-30,12/27/2021,Noelyn,Karolczyk,nkarolczyk16@spotify.com,Genderqueer,true,0.81,Chrysler,LHS,1997,Maroon,32586
44,2019-03-20,9/30/2021,Brynne,MacSkeagan,bmacskeagan17@symantec.com,Non-binary,true,0.85,Audi,TT,2008,Indigo,50902
45,2020-08-08,2/21/2021,Earvin,Sultan,esultan18@pen.io,Male,true,0.47,Ford,F-Series,1986,Aquamarine,65744
46,2019-12-23,7/5/2021,Hayden,Garbert,hgarbert19@thetimes.co.uk,Male,true,0.78,Honda,CR-V,2011,Crimson,50063
47,2020-02-14,10/16/2021,Viola,Beynke,vbeynke1a@home.pl,Female,false,0.38,Pontiac,Grand Prix,1996,Red,56399
48,2020-03-17,2/10/2021,Tobey,De Freyne,tdefreyne1b@miitbeian.gov.cn,Female,false,0.66,Dodge,Dakota,1992,Pink,39867
49,2020-04-28,7/31/2021,Yolanthe,Goldney,ygoldney1c@amazonaws.com,Genderqueer,true,0.13,Pontiac,Firefly,1991,Yellow,51223
50,2019-09-09,7/7/2021,Kizzee,Dulinty,kdulinty1d@shareasale.com,Female,true,0.29,Chevrolet,Corsica,1995,Mauv,55325
51,2019-10-10,6/18/2021,Diann,Lenoir,dlenoir1e@qq.com,Female,true,0.14,Chrysler,Cirrus,2000,Puce,28314
52,2020-07-03,11/12/2021,Loutitia,Bullivent,lbullivent1f@mlb.com,Female,false,0.92,Chrysler,Sebring,2005,Violet,22986
53,2020-12-13,6/30/2021,Aubree,Jeskins,ajeskins1g@cocolog-nifty.com,Female,false,0.51,Toyota,Highlander,2012,Mauv,18000
54,2019-05-05,4/26/2021,Rosita,Wyeth,rwyeth1h@usda.gov,Female,true,0.97,Dodge,Ram 2500,1996,Teal,66808
55,2019-08-20,8/29/2021,Katine,Scoles,kscoles1i@google.com.hk,Female,false,0.61,GMC,Sierra 1500,2005,Mauv,53334
56,2019-12-16,9/16/2021,Fields,Klesel,fklesel1j@nytimes.com,Male,false,0.79,Volkswagen,Golf III,1993,Crimson,60031
57,2019-01-04,2/20/2021,Guss,Southwell,gsouthwell1k@quantcast.com,Male,true,0.01,Acura,Vigor,1994,Goldenrod,49266
58,2020-02-27,6/21/2021,Rogers,Hurdman,rhurdman1l@cocolog-nifty.com,Male,false,0.05,Dodge,Ram 2500 Club,1995,Blue,48753
59,2020-05-23,5/2/2021,Ruben,Bitcheno,rbitcheno1m@devhub.com,Male,false,0.59,Ford,Taurus X,2009,Maroon,36584
