id,opportunity_created,first_name,last_name,email,gender,financing_reqd,pct_financed,car_make_interest,car_model_interest,car_year_interest,car_color_interest,purchase_price_range
1,2018-02-03,Pamela,Friedenbach,pfriedenbach0@army.mil,Female,false,error: Field 'financed' not found,Chevrolet,,,Green,23378
2,2022-12-29,Cam,Epperson,cepperson1@studiopress.com,Non-binary,false,error: Field 'financed' not found,,,,Puce,26654
3,2019-08-25,Gibby,Barreau,gbarreau2@tamu.edu,Male,true,error: Field 'financed' not found,Pontiac,,,,25339
4,2022-03-30,Fionnula,Gravells,fgravells3@theglobeandmail.com,,false,error: Field 'financed' not found,,Silverado 1500,,Maroon,68717
5,2021-12-21,Nadia,Langelay,nlangelay4@disqus.com,Female,true,error: Field 'financed' not found,Buick,Century,,Indigo,69393
6,2020-09-26,Virgie,Sorley,vsorley5@amazon.co.jp,,false,error: Field 'financed' not found,Chevrolet,,,Turquoise,14706
7,2021-12-24,Melosa,Gorrie,mgorrie6@usda.gov,,true,error: Field 'financed' not found,Toyota,,,Indigo,87644
8,2022-12-10,Rozanne,Keling,rkeling7@loc.gov,,false,error: Field 'financed' not found,Mazda,,,,75065
9,2022-12-19,Yoshiko,Ordidge,yordidge8@chronoengine.com,,false,error: Field 'financed' not found,Mercury,Sable,1991,Pink,34777
10,2020-11-21,Maribeth,Aloshechkin,maloshechkin9@baidu.com,Female,false,error: Field 'financed' not found,,,,Orange,32084
11,2022-08-28,Adelaida,Blackader,ablackadera@1und1.de,,true,error: Field 'financed' not found,Mitsubishi,Chariot,,Violet,88835
12,2018-02-17,Terencio,Hartas,thartasb@shutterfly.com,,false,error: Field 'financed' not found,Lincoln,,,Violet,77279
13,2021-03-17,Caril,Sayburn,csayburnc@parallels.com,,false,error: Field 'financed' not found,Subaru,,,Teal,42556
14,2018-07-17,Hyatt,Pickin,hpickind@cam.ac.uk,,false,error: Field 'financed' not found,,G-Series G10,,Khaki,32647
15,2021-08-20,Lila,Dullingham,ldullinghame@wordpress.com,,true,error: Field 'financed' not found,,,,,42048
16,2023-02-07,Brannon,Sirkett,bsirkettf@state.gov,Male,false,error: Field 'financed' not found,Toyota,,,Maroon,25102
17,2018-02-21,Glennie,Izkoveski,gizkoveskig@wikispaces.com,,false,error: Field 'financed' not found,Mazda,Miata MX-5,,Goldenrod,52847
18,2018-07-06,Jessamine,Gallier,jgallierh@vinaora.com,,true,error: Field 'financed' not found,Chevrolet,,,Red,10908
19,2022-03-18,Evelyn,Grishakov,egrishakovi@comcast.net,,true,error: Field 'financed' not found,BMW,X6,,Puce,55706
20,2021-03-23,Valdemar,Talks,vtalksj@istockphoto.com,,false,error: Field 'financed' not found,,CX-9,,,33325
21,2023-03-31,Leta,Pressnell,lpressnellk@squarespace.com,,true,error: Field 'financed' not found,Jaguar,,,Indigo,69443
22,2021-11-02,Englebert,Kippins,ekippinsl@hibu.com,,true,error: Field 'financed' not found,Toyota,Avalon,,Indigo,52976
23,2020-11-26,Shell,Elner,selnerm@about.me,,true,error: Field 'financed' not found,Daewoo,Leganza,,,26095
24,2022-04-13,Vidovic,Bridal,vbridaln@miibeian.gov.cn,,true,error: Field 'financed' not found,Suzuki,,2007,Violet,23823
25,2020-05-15,Regina,Keyme,rkeymeo@wiley.com,,true,error: Field 'financed' not found,,LS,,Red,81533
26,2020-06-29,Paulie,Goom,pgoomp@pinterest.com,,false,error: Field 'financed' not found,Nissan,Xterra,2011,Green,80174
27,2018-07-02,Gearard,Winchcombe,gwinchcombeq@apache.org,,false,error: Field 'financed' not found,,,,Red,40572
28,2022-11-20,Thomasin,Salleir,tsalleirr@omniture.com,,true,error: Field 'financed' not found,,Eos,,Turquoise,53697
29,2022-07-09,Vanessa,Downe,vdownes@samsung.com,,true,error: Field 'financed' not found,Chevrolet,,,,12697
30,2021-09-11,Birgit,Smittoune,bsmittounet@friendfeed.com,,true,error: Field 'financed' not found,Lexus,GX,,Purple,38349
31,2018-11-06,Karen,Dawnay,kdawnayu@discuz.net,,true,error: Field 'financed' not found,Acura,,,Puce,66016
32,2022-08-17,Roshelle,Clapson,rclapsonv@ox.ac.uk,Female,true,error: Field 'financed' not found,GMC,,,,18427
33,2020-01-29,Davina,Mantle,dmantlew@netscape.com,Female,true,error: Field 'financed' not found,Nissan,,2000,Green,60667
34,2018-09-06,Carolin,Rickwood,crickwoodx@topsy.com,,true,error: Field 'financed' not found,Pontiac,Firebird,,,93599
35,2022-08-15,Avery,Largen,alargeny@census.gov,,true,error: Field 'financed' not found,Audi,S4,,,19442
36,2020-10-25,Marlin,Dacke,mdackez@live.com,Male,true,error: Field 'financed' not found,Chevrolet,,,Red,35387
37,2021-04-01,Lawry,Darton,ldarton10@slate.com,Male,false,error: Field 'financed' not found,Acura,RL,,,58660
38,2022-07-13,Gar,McErlaine,gmcerlaine11@google.com.au,Male,true,error: Field 'financed' not found,Jeep,Wrangler,,Orange,57902
39,2022-10-01,Kaylil,Courtonne,kcourtonne12@utexas.edu,,true,error: Field 'financed' not found,Cadillac,,,Fuscia,42062
40,2019-06-28,Maryl,Gason,mgason13@economist.com,Female,true,error: Field 'financed' not found,,,,Indigo,98695
41,2021-04-16,Hali,Detoile,hdetoile14@reverbnation.com,,true,error: Field 'financed' not found,GMC,,,Goldenrod,25606
