id,opportunity_created,first_name,last_name,email,gender,financing_reqd,pct_financed,car_make_interest,car_model_interest,car_year_interest,car_color_interest,purchase_price_range
1,2022-12-25,Casper,Gorgen,cgorgen0@pagesperso-orange.fr,,false,error: Field 'financed' not found,Saab,9-2X,,Khaki,45894
2,2020-06-23,Manfred,Board,mboard1@cyberchimps.com,,false,error: Field 'financed' not found,,Express 1500,,Red,63043
3,2018-08-09,Alena,Works,,Female,false,error: Field 'financed' not found,,,,Blue,67356
4,2021-02-12,Dacia,Petrelluzzi,dpetrelluzzi3@house.gov,,true,error: Field 'financed' not found,,900,,Crimson,59373
5,2022-11-26,Kayley,Brownlee,kbrownlee4@state.gov,Female,false,error: Field 'financed' not found,Mitsubishi,,1994,Fuscia,96779
6,2020-04-13,Dionne,Thumann,dthumann5@vkontakte.ru,Female,true,error: Field 'financed' not found,,,,Blue,29099
7,2023-04-30,Serena,Coulling,scoulling6@toplist.cz,Female,true,error: Field 'financed' not found,,850,1994,,18396
8,2019-05-20,Jarad,Kinchley,jkinchley7@hubpages.com,,false,error: Field 'financed' not found,,,,Teal,97796
9,2023-01-20,Nathanil,Fountaine,nfountaine8@slate.com,,false,error: Field 'financed' not found,Pontiac,Grand Prix,,Goldenrod,91428
10,2018-06-27,Elsie,Stoneley,estoneley9@hud.gov,,true,error: Field 'financed' not found,Volkswagen,,,Fuscia,41473
11,2022-10-13,Alejandrina,Normington,anormingtona@bloglines.com,,false,error: Field 'financed' not found,Chevrolet,,,Fuscia,72170
12,2022-09-16,Mersey,Ortell,mortellb@comsenz.com,,true,error: Field 'financed' not found,Mitsubishi,,,Pink,35699
13,2018-11-08,Sidonia,Lydford,slydfordc@loc.gov,Female,false,error: Field 'financed' not found,Hyundai,,,,18679
14,2020-02-24,Kelbee,Callis,kcallisd@booking.com,Male,true,error: Field 'financed' not found,,Edge,2010,Red,72449
15,2019-09-19,Tallie,Fountian,tfountiane@fotki.com,Male,true,error: Field 'financed' not found,Nissan,,,,81664
